name,id,speed,state,current_building.id,breeding_site.id,location.x,location.y
mosquitoes0,0,0.27297980925125476,2,39,1,1401.4671916613297,1708.6203901515573
mosquitoes1,1,0.243729874030733,2,7,0,565.6357083184294,1498.016584507513
mosquitoes2,2,0.20993883764484245,2,101,2,1355.1868958538087,626.2810902664294
mosquitoes3,3,0.20932377427486729,2,39,1,1362.381003087084,1743.814119576363
mosquitoes4,4,0.2635824995517024,2,39,1,1384.9167625674002,1689.5866339173374
mosquitoes5,5,0.1682420098516712,2,38,1,1435.4759391643317,1712.9159799707256
mosquitoes6,6,0.2988156996385856,2,131,2,1473.5937528859456,406.90042235988943
mosquitoes7,7,0.14236585295783047,2,63,0,379.41561485618547,1423.68175439878
mosquitoes8,8,0.23176236626680108,2,38,1,1353.7422696573944,1599.405884570249
mosquitoes9,9,0.19062092036841702,2,131,2,1461.8064723993948,432.9903437193972
mosquitoes10,10,0.11829298565587562,2,63,0,378.01734078942457,1395.6129450415626
mosquitoes11,11,0.25874838014769547,2,39,1,1352.5720708228826,1748.1778204162829
mosquitoes12,12,0.13944254780032805,2,63,0,346.6600350554477,1459.6475292138562
mosquitoes13,13,0.15037137897223835,2,131,2,1486.8049686985173,482.03839133461054
mosquitoes14,14,0.13945075541911975,2,148,2,1605.2744999301144,444.889163601838
mosquitoes15,15,0.1357550528944045,2,65,0,477.90161444758894,1554.3645542060995
mosquitoes16,16,0.25814785635745086,2,39,1,1331.5585082820628,1799.0794722726857
mosquitoes17,17,0.1552064006282679,2,131,2,1510.4255224635162,502.33158760479654
mosquitoes18,18,0.19730513923925538,2,65,0,420.1613985821578,1460.9401052261935
mosquitoes19,19,0.23661788011888954,2,38,1,1459.194945304246,1675.054736394938
mosquitoes20,20,0.12273456696394074,0,63,0,328.6016798595955,1510.2526302114225
mosquitoes21,21,0.2859945010710325,0,38,1,1367.0130899434712,1663.512435770281
mosquitoes22,22,0.13076997238863403,0,38,1,1355.3430401465525,1734.3112899168243
mosquitoes23,23,0.20930238860826011,0,101,2,1283.7952528600197,606.2981696637204
mosquitoes24,24,0.15030776584895353,0,65,0,378.00105202621756,1535.9066476765445
mosquitoes25,25,0.2025106077308587,0,136,1,1332.9967776556484,1545.5218717766534
mosquitoes26,26,0.12608075344066585,0,136,1,1373.307505768218,1629.752274520999
mosquitoes27,27,0.22798253790702327,0,65,0,498.68735125461444,1552.048932809678
mosquitoes28,28,0.19920222949650496,0,248,2,1443.5456360201606,572.6109281982991
mosquitoes29,29,0.24206544457653412,0,63,0,312.8343847242241,1376.1105446533165
mosquitoes30,30,0.2962853484518038,0,131,2,1441.3089490512687,443.69114982406813
mosquitoes31,31,0.17103171546554327,0,63,0,398.43943654129293,1463.2761247706962
mosquitoes32,32,0.12851481391378047,0,248,2,1450.2335403114178,573.4149979532849
mosquitoes33,33,0.2564358446842202,0,248,2,1444.0788952799617,575.867786374271
mosquitoes34,34,0.2637076073624479,0,148,2,1531.4026900774454,469.16785092196875
mosquitoes35,35,0.2138554826944307,0,131,2,1465.0814962444642,458.991408601084
mosquitoes36,36,0.29596473680071356,0,39,1,1339.7073719082337,1818.7357672049623
mosquitoes37,37,0.15798111253875013,0,102,2,1389.540780275799,537.6136702366689
mosquitoes38,38,0.29051115936038097,0,38,1,1385.9365035197945,1727.8576931279285
mosquitoes39,39,0.18292498223368506,0,65,0,407.12937289716865,1554.472225543276
